#distance[in] file
23.8475 #c0122_0838.txt
23.8475 #c0122_0841.txt
26.8475 #c0122_0845.txt
26.8475 #c0122_0847.txt
26.8475 #c0122_0848.txt	
30.8475 #c0122_0852.txt	
30.8475 #c0122_0854.txt	
34.8475 #c0122_0856.txt
34.8475 #c0122_0857.txt	
38.8475 #c0122_0903.txt	
38.8475 #c0122_0904.txt	
42.8475 #c0122_0907.txt	
42.8475 #c0122_0910.txt	
46.8475 #c0122_0914.txt	
50.8475 #c0122_0937.txt	
50.8475 #c0122_0938.txt	
54.8475 #c0122_0941.txt	
58.8475 #c0122_0944.txt	
58.8475 #c0122_0945.txt	
62.8475 #c0122_0948.txt	
62.8475 #c0122_0950.txt
66.8475 #c0122_0954.txt	
70.8475 #c0122_0958.txt	
70.8475 #c0122_1000.txt	
