# peak1			peak2			peak3			peak4		micrometer[mm]		Distance[in]	filename
170.0			287.0			408.5			0				10.720			29.5625			c0226_0927.txt
176.0			267.0 			345.5 			425.5 			11.020			29.5625			c0226_0928.txt
172.0 			240.0 			302.0 			369.0			11.320			29.5625			c0226_0931.txt
173.0 			239.5 			303.0 			367.5 			11.320 			29.5625 		c0226_0932.txt
236.5 			285.0 			337.0 			389.5			11.620 			29.5625 		c0226_0933.txt
131.5 			229.0 			329.0 			0				9.560 			29.5625 		c0226_0934.txt
146.5 			221.5 			291.5 			364.5 			9.260 			29.5625 		c0226_0935.txt
146.5 			221.5 			291.5 			359.5 			8.960 			29.5625 		c0226_0936.txt
159.5 			218.5 			273.0 			332.0 			8.960 			29.5625 		c0226_0938.txt
167.0 			212.0 			260.5 			312.0  			9.660 			29.5625 		c0226_0940.txt
