#z-11mm		Trial 1				|		Trial 2
# z[in]	x_10	x_90	del_x	|	x_10	x_90	del_x	corrected_del_x
0		8.551	8.905	0.354		8.492	8.821	0.329	0.329
4		9.081	9.475	0.394		8.449	8.842	0.343	0.393
8		7.582	8.081	0.499		8.539	9.025	0.486	0.486
12		9.559	10.145	0.586		8.698	9.278	0.580	0.580
16		7.411	8.085	0.674		8.505	9.189	0.684	0.684
20		10.555	11.289	0.734		8.512	9.291	0.779	0.779
24		10.668	11.501	0.833		8.349	9.241	0.847	0.892
28		5.561	6.549	0.988		8.491	9.472	0.981	0.981
32		5.649	6.755	1.106		8.550	9.629	1.079	1.079
36		8.528	9.719	1.191		8.320	9.520	1.200	1.200
40		8.801	10.018	1.217		8.609	9.912	1.303	1.303
44		8.678	10.085	1.407		8.345	9.759	1.414	1.414
48		8.425	9.949	1.524		8.294	9.815	1.521	1.521
52		8.319	9.945	1.626		8.342	9.961	1.619	1.619
